from_location,to_location,weight
L0379,L0380,7
L0379,L0449,2
L0379,L0573,2
L0380,L0381,1
L0380,L0725,11
L0381,L0382,8
L0381,L0681,3
L0382,L0383,4
L0382,L0396,6
L0382,L0743,3
L0383,L0384,4
L0383,L0397,12
L0383,L0641,5
L0383,L0749,15
L0383,L0814,9
L0384,L0385,8
L0384,L0392,12
L0384,L0431,7
L0384,L0963,9
L0385,L0386,6
L0385,L0965,2
L0386,L0387,5
L0386,L0496,10
L0386,L0628,1
L0386,L0833,6
L0386,L0894,11
L0387,L0388,4
L0387,L0553,12
L0388,L0389,4
L0388,L0409,6
L0388,L0413,2
L0388,L0622,2
L0388,L0887,11
L0389,L0390,1
L0389,L0557,7
L0389,L0584,8
L0389,L0920,13
L0390,L0391,4
L0391,L0392,7
L0391,L0405,1
L0391,L0859,2
L0392,L0393,6
L0392,L0750,4
L0392,L0793,14
L0393,L0394,5
L0393,L0778,2
L0394,L0395,2
L0394,L0429,15
L0394,L0496,12
L0394,L0569,6
L0394,L0954,10
L0395,L0396,5
L0395,L0667,12
L0395,L0707,13
L0395,L0790,4
L0396,L0397,6
L0396,L0715,8
L0397,L0398,9
L0397,L0461,4
L0397,L0651,5
L0398,L0399,7
L0398,L0567,15
L0399,L0400,9
L0399,L0500,10
L0399,L0852,2
L0399,L0979,4
L0400,L0401,6
L0400,L0729,14
L0401,L0402,1
L0402,L0403,2
L0403,L0404,5
L0404,L0405,3
L0404,L0570,13
L0404,L0694,2
L0405,L0406,5
L0405,L0411,2
L0405,L0925,1
L0406,L0407,1
L0407,L0408,2
L0407,L0537,2
L0407,L0857,3
L0407,L0991,9
L0408,L0409,7
L0408,L0840,9
L0408,L0988,5
L0409,L0410,6
L0409,L0485,5
L0409,L0620,9
L0409,L0833,12
L0410,L0411,6
L0410,L0583,12
L0410,L0663,6
L0410,L0734,11
L0411,L0412,7
L0411,L0433,12
L0412,L0413,9
L0412,L0437,8
L0412,L0588,10
L0413,L0414,2
L0414,L0415,7
L0414,L0507,5
L0414,L0523,14
L0414,L0771,12
L0415,L0416,4
L0415,L0496,14
L0415,L0975,9
L0416,L0417,5
L0416,L0463,8
L0417,L0418,1
L0417,L0750,3
L0417,L0979,11
L0418,L0419,7
L0418,L0962,1
L0419,L0420,1
L0420,L0421,9
L0420,L0655,7
L0420,L0788,2
L0421,L0422,9
L0421,L0429,1
L0421,L0446,14
L0421,L0812,8
L0422,L0423,4
L0422,L0506,9
L0422,L0752,15
L0423,L0424,6
L0424,L0425,7
L0424,L0505,6
L0424,L0555,10
L0424,L0997,5
L0425,L0426,2
L0426,L0427,6
L0426,L0788,4
L0426,L0912,13
L0426,L0943,2
L0427,L0428,6
L0427,L0808,5
L0427,L0980,11
L0428,L0429,2
L0428,L0604,5
L0428,L0664,2
L0428,L0802,15
L0429,L0430,5
L0429,L0541,14
L0430,L0431,9
L0430,L0652,6
L0430,L0655,8
L0431,L0432,5
L0431,L0455,1
L0431,L0997,1
L0432,L0433,7
L0432,L0518,10
L0432,L0619,12
L0432,L0665,3
L0433,L0434,6
L0433,L0663,4
L0434,L0435,7
L0434,L0451,8
L0434,L0457,5
L0434,L0697,8
L0434,L0769,12
L0434,L0976,9
L0435,L0436,5
L0436,L0437,9
L0437,L0438,3
L0437,L0658,3
L0438,L0439,4
L0439,L0440,7
L0439,L0815,10
L0439,L0962,15
L0440,L0441,7
L0440,L0827,13
L0441,L0442,3
L0441,L0725,8
L0442,L0443,5
L0442,L0701,8
L0442,L0804,10
L0443,L0444,7
L0443,L0731,14
L0443,L0754,5
L0443,L0865,5
L0444,L0445,9
L0444,L0460,5
L0444,L0515,1
L0445,L0446,1
L0445,L0514,3
L0446,L0447,5
L0446,L0971,8
L0447,L0448,5
L0447,L0464,2
L0447,L0526,13
L0448,L0449,4
L0448,L0580,9
L0448,L0748,4
L0448,L0972,8
L0448,L0999,2
L0449,L0450,7
L0449,L0891,1
L0450,L0451,6
L0450,L0458,4
L0450,L0673,3
L0450,L0978,8
L0451,L0452,8
L0451,L0808,10
L0452,L0453,8
L0452,L0468,7
L0452,L0724,13
L0453,L0454,8
L0454,L0455,4
L0454,L0704,2
L0454,L0711,10
L0454,L0764,15
L0454,L0908,4
L0455,L0456,9
L0455,L0464,8
L0455,L0471,8
L0455,L0609,2
L0456,L0457,8
L0456,L0720,8
L0456,L0909,6
L0457,L0458,3
L0457,L0523,8
L0458,L0459,2
L0459,L0460,5
L0460,L0461,9
L0460,L0553,9
L0460,L0591,4
L0460,L0622,14
L0460,L0891,7
L0461,L0462,6
L0461,L0478,2
L0461,L0483,4
L0461,L0935,15
L0462,L0463,2
L0462,L0966,3
L0463,L0464,4
L0463,L0473,6
L0463,L0655,2
L0463,L0911,12
L0464,L0465,5
L0464,L0999,9
L0465,L0466,4
L0465,L0541,12
L0466,L0467,4
L0466,L0581,13
L0466,L0766,6
L0466,L0898,1
L0467,L0468,3
L0467,L0916,10
L0468,L0469,1
L0468,L0774,5
L0469,L0470,1
L0469,L0819,13
L0469,L0845,12
L0470,L0471,4
L0470,L0477,13
L0470,L0510,9
L0470,L0536,14
L0470,L0940,13
L0471,L0472,8
L0471,L0779,11
L0472,L0473,2
L0472,L0489,14
L0472,L0674,10
L0472,L0914,15
L0473,L0474,8
L0473,L0745,4
L0474,L0475,7
L0474,L0827,9
L0475,L0476,4
L0475,L0714,6
L0475,L0826,9
L0476,L0477,7
L0476,L0488,14
L0476,L0497,2
L0476,L0498,7
L0476,L0985,5
L0477,L0478,8
L0477,L0641,12
L0477,L0899,13
L0478,L0479,7
L0479,L0480,4
L0479,L0764,7
L0480,L0481,3
L0480,L0740,6
L0481,L0482,1
L0481,L0717,12
L0481,L0870,14
L0482,L0483,2
L0482,L0752,1
L0482,L0804,10
L0482,L0975,1
L0483,L0484,7
L0483,L0978,2
L0484,L0485,4
L0484,L0670,6
L0485,L0486,3
L0485,L0498,10
L0486,L0487,9
L0487,L0488,8
L0488,L0489,1
L0488,L0515,2
L0488,L0576,9
L0488,L0675,15
L0488,L0933,11
L0489,L0490,9
L0489,L0634,6
L0490,L0491,4
L0490,L0505,14
L0490,L0647,8
L0491,L0492,2
L0491,L0565,5
L0491,L0808,11
L0492,L0493,8
L0492,L0510,11
L0493,L0494,3
L0493,L0496,4
L0494,L0495,8
L0494,L0595,2
L0494,L0812,1
L0495,L0496,9
L0495,L0520,11
L0495,L0627,7
L0496,L0497,9
L0496,L0750,1
L0497,L0498,6
L0497,L0502,7
L0498,L0499,8
L0499,L0500,9
L0500,L0501,7
L0501,L0502,9
L0502,L0503,8
L0502,L0678,6
L0503,L0504,3
L0504,L0505,8
L0504,L0783,9
L0504,L0864,11
L0504,L0951,2
L0505,L0506,8
L0505,L0516,15
L0506,L0507,5
L0506,L0792,12
L0507,L0508,4
L0507,L0612,11
L0507,L0638,6
L0507,L0648,4
L0507,L0966,7
L0508,L0509,5
L0508,L0564,12
L0508,L0771,13
L0509,L0510,9
L0509,L0520,6
L0509,L0533,8
L0509,L0768,15
L0509,L0853,5
L0510,L0511,8
L0511,L0512,4
L0512,L0513,5
L0512,L0531,9
L0512,L0954,8
L0513,L0514,8
L0513,L0573,13
L0513,L0753,9
L0513,L0764,1
L0513,L0877,4
L0514,L0515,2
L0514,L0540,8
L0515,L0516,5
L0515,L0585,13
L0515,L0690,3
L0515,L0703,15
L0515,L0831,6
L0516,L0517,4
L0516,L0545,2
L0516,L0596,11
L0516,L0635,10
L0516,L0786,13
L0516,L0976,3
L0517,L0518,5
L0517,L0626,6
L0518,L0519,6
L0519,L0520,6
L0520,L0521,9
L0520,L0950,9
L0521,L0522,2
L0521,L0694,3
L0521,L0760,12
L0521,L0865,5
L0521,L0897,3
L0521,L0947,15
L0522,L0523,3
L0523,L0524,3
L0524,L0525,4
L0524,L0620,15
L0525,L0526,7
L0525,L0531,4
L0526,L0527,3
L0526,L0722,2
L0527,L0528,4
L0527,L0787,6
L0528,L0529,2
L0529,L0530,7
L0529,L0602,13
L0529,L0873,6
L0530,L0531,7
L0530,L0592,5
L0531,L0532,6
L0531,L0548,12
L0531,L0578,10
L0532,L0533,9
L0532,L0551,12
L0532,L0573,14
L0532,L0837,10
L0532,L0892,7
L0532,L0959,12
L0533,L0534,8
L0533,L0538,5
L0533,L0554,2
L0533,L0891,13
L0534,L0535,7
L0535,L0536,1
L0536,L0537,4
L0536,L0560,9
L0536,L0612,6
L0536,L0747,4
L0536,L0835,3
L0536,L0953,8
L0536,L0998,2
L0537,L0538,7
L0538,L0539,7
L0538,L0544,9
L0539,L0540,1
L0539,L0589,6
L0540,L0541,7
L0540,L0592,13
L0540,L0746,10
L0541,L0542,8
L0541,L0819,6
L0541,L0911,6
L0541,L0917,4
L0542,L0543,1
L0542,L0645,8
L0542,L0829,2
L0543,L0544,6
L0544,L0545,5
L0544,L0571,12
L0545,L0546,7
L0546,L0547,7
L0546,L0550,7
L0546,L0702,2
L0547,L0548,9
L0547,L0551,2
L0547,L0918,1
L0548,L0549,9
L0548,L0922,2
L0549,L0550,4
L0549,L0581,6
L0550,L0551,8
L0551,L0552,4
L0551,L0561,5
L0551,L0833,5
L0552,L0553,5
L0552,L0991,4
L0553,L0554,7
L0553,L0618,15
L0553,L0785,10
L0553,L0852,14
L0553,L0875,12
L0554,L0555,8
L0554,L0965,7
L0555,L0556,1
L0555,L0901,7
L0556,L0557,7
L0557,L0558,6
L0558,L0559,7
L0558,L0640,11
L0558,L0924,6
L0559,L0560,3
L0559,L0577,13
L0560,L0561,8
L0560,L0587,5
L0560,L0923,4
L0561,L0562,3
L0561,L0719,12
L0561,L0849,4
L0562,L0563,9
L0563,L0564,1
L0563,L0586,3
L0564,L0565,7
L0564,L0671,6
L0565,L0566,1
L0565,L0570,4
L0565,L0874,15
L0566,L0567,2
L0567,L0568,7
L0568,L0569,3
L0568,L0587,13
L0568,L0729,15
L0568,L0740,9
L0568,L0749,1
L0568,L0978,15
L0569,L0570,8
L0569,L0866,1
L0570,L0571,3
L0570,L0585,3
L0571,L0572,1
L0571,L0676,5
L0572,L0573,5
L0572,L0574,13
L0572,L0677,11
L0573,L0574,7
L0573,L0782,11
L0573,L0856,7
L0573,L0923,4
L0574,L0575,6
L0574,L0721,6
L0574,L0898,4
L0574,L0929,15
L0575,L0576,4
L0575,L0844,11
L0576,L0577,8
L0576,L0990,13
L0577,L0578,6
L0578,L0579,6
L0579,L0580,7
L0579,L0584,13
L0579,L0747,8
L0580,L0581,5
L0581,L0582,7
L0581,L0643,2
L0582,L0583,5
L0582,L0645,15
L0582,L0774,4
L0583,L0584,2
L0584,L0585,8
L0584,L0915,8
L0585,L0586,1
L0585,L0658,11
L0586,L0587,9
L0586,L0694,3
L0586,L0726,6
L0586,L0875,4
L0587,L0588,1
L0587,L0652,6
L0588,L0589,6
L0588,L0623,7
L0589,L0590,4
L0589,L0919,8
L0590,L0591,2
L0590,L0610,4
L0590,L0785,2
L0590,L0791,10
L0590,L0867,7
L0590,L0991,6
L0591,L0592,1
L0592,L0593,1
L0592,L0752,1
L0593,L0594,4
L0593,L0596,10
L0594,L0595,4
L0594,L0599,5
L0594,L0755,1
L0595,L0596,1
L0595,L0925,13
L0596,L0597,3
L0596,L0608,13
L0596,L0753,3
L0597,L0598,4
L0597,L0601,14
L0597,L0642,8
L0597,L0682,1
L0597,L0841,10
L0598,L0599,3
L0599,L0600,8
L0599,L0633,2
L0599,L0786,3
L0600,L0601,2
L0600,L0758,3
L0600,L0935,1
L0600,L0961,9
L0601,L0602,4
L0601,L0612,9
L0601,L0722,13
L0601,L0890,5
L0601,L0992,11
L0601,L0998,9
L0602,L0603,8
L0602,L0670,2
L0602,L0722,4
L0602,L0766,9
L0603,L0604,5
L0604,L0605,6
L0604,L0675,3
L0604,L0682,7
L0605,L0606,3
L0605,L0834,9
L0605,L0952,14
L0606,L0607,2
L0606,L0612,12
L0606,L0624,12
L0606,L0972,15
L0607,L0608,3
L0607,L0886,8
L0608,L0609,5
L0608,L0625,14
L0608,L0668,7
L0608,L0908,6
L0609,L0610,2
L0609,L0632,2
L0609,L0673,4
L0609,L0904,8
L0610,L0611,1
L0611,L0612,5
L0611,L0790,6
L0612,L0613,7
L0613,L0614,7
L0613,L0729,11
L0614,L0615,4
L0614,L0886,10
L0615,L0616,2
L0615,L0630,13
L0615,L0635,11
L0616,L0617,4
L0616,L0761,11
L0617,L0618,2
L0617,L0870,11
L0618,L0619,5
L0618,L0878,1
L0619,L0620,2
L0619,L0723,14
L0619,L0823,14
L0620,L0621,1
L0621,L0622,6
L0621,L0852,13
L0622,L0623,9
L0622,L0626,3
L0623,L0624,7
L0623,L0734,13
L0624,L0625,6
L0625,L0626,2
L0626,L0627,9
L0626,L0642,2
L0627,L0628,6
L0627,L0632,10
L0628,L0629,1
L0628,L0647,14
L0628,L0695,11
L0628,L0758,15
L0628,L0850,5
L0628,L0857,11
L0629,L0630,7
L0629,L0635,11
L0629,L0756,8
L0629,L0952,4
L0630,L0631,8
L0630,L0785,15
L0630,L0874,7
L0631,L0632,2
L0631,L0685,4
L0632,L0633,7
L0632,L0758,10
L0632,L0825,8
L0632,L0957,11
L0633,L0634,6
L0633,L0655,15
L0634,L0635,8
L0635,L0636,3
L0635,L0644,14
L0635,L0739,7
L0635,L0774,2
L0635,L0906,6
L0636,L0637,7
L0636,L0652,9
L0636,L0660,13
L0636,L0719,15
L0636,L0890,14
L0637,L0638,3
L0637,L0639,2
L0638,L0639,9
L0639,L0640,5
L0639,L0819,15
L0640,L0641,9
L0640,L0649,12
L0640,L0829,12
L0641,L0642,8
L0642,L0643,8
L0643,L0644,7
L0643,L0781,14
L0644,L0645,5
L0644,L0891,10
L0645,L0646,6
L0645,L0663,5
L0645,L0828,7
L0646,L0647,4
L0646,L0784,4
L0647,L0648,2
L0647,L0704,1
L0647,L0731,15
L0648,L0649,5
L0648,L0669,1
L0649,L0650,8
L0649,L0663,8
L0649,L0759,2
L0649,L0949,10
L0649,L0988,9
L0650,L0651,4
L0650,L0782,11
L0650,L0938,8
L0651,L0652,8
L0651,L0868,2
L0652,L0653,7
L0653,L0654,6
L0654,L0655,1
L0655,L0656,8
L0655,L0658,1
L0655,L0747,8
L0656,L0657,6
L0656,L0674,1
L0657,L0658,3
L0657,L0685,4
L0657,L0972,5
L0657,L0991,14
L0658,L0659,8
L0658,L0669,7
L0659,L0660,4
L0660,L0661,6
L0660,L0667,15
L0660,L0728,8
L0660,L0806,9
L0660,L0821,6
L0660,L0851,3
L0661,L0662,5
L0661,L0991,1
L0662,L0663,6
L0662,L0903,6
L0662,L0928,3
L0663,L0664,5
L0663,L0748,1
L0663,L0771,3
L0664,L0665,5
L0664,L0674,10
L0664,L0896,13
L0665,L0666,9
L0666,L0667,1
L0666,L0879,2
L0667,L0668,9
L0667,L0729,7
L0667,L0775,8
L0668,L0669,4
L0669,L0670,2
L0669,L0958,8
L0670,L0671,4
L0670,L0850,5
L0671,L0672,7
L0671,L0807,6
L0672,L0673,8
L0672,L0729,11
L0672,L0991,13
L0673,L0674,9
L0673,L0783,10
L0673,L0871,9
L0674,L0675,4
L0674,L0952,5
L0675,L0676,8
L0675,L0693,3
L0675,L0830,6
L0675,L0868,4
L0676,L0677,8
L0677,L0678,8
L0678,L0679,1
L0678,L0757,14
L0678,L0838,3
L0679,L0680,2
L0679,L0990,6
L0680,L0681,5
L0680,L0878,14
L0681,L0682,4
L0682,L0683,7
L0682,L0765,14
L0683,L0684,4
L0684,L0685,5
L0684,L0926,6
L0685,L0686,6
L0686,L0687,8
L0686,L0759,1
L0687,L0688,9
L0688,L0689,9
L0688,L0761,13
L0689,L0690,6
L0689,L0712,7
L0689,L0869,15
L0690,L0691,7
L0690,L0708,11
L0690,L0853,14
L0691,L0692,9
L0691,L0715,15
L0691,L0783,8
L0692,L0693,6
L0693,L0694,6
L0694,L0695,8
L0694,L0909,13
L0695,L0696,5
L0695,L0927,8
L0695,L0947,12
L0696,L0697,5
L0696,L0779,10
L0696,L0957,9
L0697,L0698,5
L0698,L0699,4
L0698,L0733,7
L0699,L0700,2
L0699,L0748,12
L0699,L0831,4
L0699,L0906,11
L0700,L0701,4
L0700,L0765,4
L0700,L0787,4
L0700,L0894,10
L0701,L0702,6
L0701,L0714,3
L0701,L0848,11
L0701,L0902,15
L0702,L0703,2
L0702,L0765,14
L0703,L0704,9
L0704,L0705,3
L0704,L0867,5
L0704,L0906,13
L0704,L1000,4
L0705,L0706,4
L0706,L0707,4
L0706,L0723,15
L0706,L0827,6
L0706,L0838,2
L0707,L0708,8
L0707,L0852,14
L0708,L0709,5
L0708,L0782,2
L0709,L0710,9
L0709,L0717,13
L0709,L0795,11
L0710,L0711,5
L0710,L0726,13
L0711,L0712,2
L0711,L0827,8
L0711,L0860,6
L0711,L0939,4
L0711,L0998,6
L0712,L0713,4
L0712,L0854,4
L0713,L0714,5
L0713,L0759,6
L0714,L0715,4
L0714,L0721,7
L0714,L0722,4
L0715,L0716,6
L0716,L0717,3
L0717,L0718,5
L0717,L0744,7
L0718,L0719,1
L0719,L0720,9
L0719,L0917,10
L0719,L0972,7
L0720,L0721,3
L0720,L0849,12
L0721,L0722,5
L0721,L0771,2
L0722,L0723,1
L0722,L0783,7
L0722,L0897,9
L0723,L0724,1
L0724,L0725,9
L0724,L0816,13
L0725,L0726,5
L0726,L0727,3
L0727,L0728,8
L0728,L0729,2
L0729,L0730,1
L0729,L0812,2
L0729,L0929,12
L0730,L0731,5
L0730,L0746,8
L0730,L0841,15
L0731,L0732,8
L0731,L0744,9
L0731,L0839,2
L0732,L0733,8
L0732,L0975,5
L0733,L0734,8
L0733,L0880,5
L0734,L0735,6
L0735,L0736,3
L0735,L0741,8
L0735,L0758,4
L0736,L0737,1
L0736,L0903,4
L0737,L0738,5
L0737,L0743,3
L0738,L0739,8
L0738,L0765,15
L0738,L0855,3
L0738,L0867,2
L0739,L0740,2
L0739,L0816,8
L0740,L0741,2
L0740,L0744,15
L0741,L0742,7
L0741,L0757,1
L0742,L0743,8
L0742,L0899,5
L0743,L0744,2
L0743,L0843,6
L0743,L0856,3
L0743,L0921,11
L0744,L0745,1
L0745,L0746,3
L0745,L0769,10
L0745,L0811,10
L0745,L0937,2
L0745,L0982,14
L0746,L0747,3
L0746,L0776,2
L0747,L0748,5
L0748,L0749,2
L0748,L0788,5
L0749,L0750,4
L0750,L0751,2
L0750,L0971,15
L0751,L0752,9
L0751,L0981,6
L0752,L0753,7
L0753,L0754,4
L0753,L0787,6
L0754,L0755,9
L0754,L0771,2
L0755,L0756,7
L0756,L0757,8
L0756,L0774,1
L0756,L0962,14
L0757,L0758,8
L0757,L0970,15
L0758,L0759,5
L0759,L0760,7
L0760,L0761,5
L0760,L0824,14
L0760,L0946,7
L0760,L0948,3
L0761,L0762,1
L0761,L0792,9
L0761,L0844,5
L0761,L0850,2
L0762,L0763,2
L0762,L0786,10
L0763,L0764,4
L0763,L0780,6
L0764,L0765,4
L0764,L0892,7
L0764,L0941,3
L0765,L0766,5
L0765,L0773,4
L0765,L0863,1
L0766,L0767,2
L0766,L0771,13
L0766,L0916,5
L0766,L0928,11
L0767,L0768,3
L0767,L0960,15
L0768,L0769,4
L0768,L0778,11
L0769,L0770,3
L0769,L0880,8
L0769,L0986,15
L0770,L0771,9
L0771,L0772,2
L0771,L0972,4
L0772,L0773,3
L0773,L0774,1
L0774,L0775,7
L0775,L0776,8
L0776,L0777,8
L0777,L0778,5
L0777,L0872,1
L0777,L0988,15
L0778,L0779,1
L0779,L0780,4
L0780,L0781,5
L0780,L0884,9
L0781,L0782,5
L0781,L0804,15
L0782,L0783,8
L0782,L0799,10
L0782,L0934,4
L0782,L0958,9
L0783,L0784,2
L0783,L0884,6
L0784,L0785,4
L0785,L0786,5
L0786,L0787,4
L0787,L0788,7
L0787,L0819,4
L0788,L0789,2
L0788,L0809,10
L0789,L0790,9
L0790,L0791,4
L0790,L0872,1
L0790,L0989,2
L0791,L0792,3
L0791,L0828,13
L0792,L0793,5
L0793,L0794,3
L0794,L0795,2
L0795,L0796,1
L0795,L0819,13
L0795,L0932,8
L0796,L0797,3
L0797,L0798,5
L0797,L0889,10
L0798,L0799,5
L0799,L0800,8
L0799,L0827,13
L0800,L0801,2
L0800,L0991,1
L0801,L0802,8
L0801,L0821,7
L0801,L0879,14
L0801,L0959,4
L0802,L0803,5
L0802,L0839,15
L0803,L0804,7
L0804,L0805,5
L0804,L0829,14
L0805,L0806,9
L0806,L0807,9
L0807,L0808,8
L0808,L0809,8
L0808,L0882,8
L0809,L0810,2
L0810,L0811,1
L0810,L0958,4
L0811,L0812,7
L0811,L0832,12
L0812,L0813,6
L0813,L0814,5
L0813,L0982,13
L0813,L0991,7
L0814,L0815,1
L0815,L0816,2
L0815,L0852,4
L0816,L0817,4
L0816,L0818,12
L0816,L0938,7
L0817,L0818,1
L0817,L0993,2
L0818,L0819,5
L0818,L0830,2
L0819,L0820,1
L0820,L0821,3
L0821,L0822,8
L0822,L0823,9
L0822,L0878,7
L0823,L0824,8
L0823,L0842,3
L0824,L0825,5
L0825,L0826,3
L0825,L0827,5
L0825,L0857,6
L0825,L0861,10
L0826,L0827,7
L0827,L0828,8
L0827,L0842,9
L0827,L0996,4
L0828,L0829,2
L0829,L0830,8
L0829,L0964,4
L0830,L0831,6
L0830,L0903,9
L0831,L0832,7
L0831,L0864,12
L0832,L0833,6
L0832,L0855,1
L0833,L0834,6
L0834,L0835,2
L0834,L0852,13
L0834,L0938,3
L0835,L0836,3
L0836,L0837,6
L0837,L0838,7
L0838,L0839,8
L0839,L0840,5
L0840,L0841,7
L0840,L0853,6
L0841,L0842,9
L0842,L0843,1
L0843,L0844,8
L0843,L0853,4
L0843,L0959,5
L0844,L0845,2
L0844,L0846,7
L0845,L0846,6
L0845,L0936,13
L0846,L0847,5
L0847,L0848,6
L0848,L0849,2
L0848,L0881,4
L0849,L0850,7
L0850,L0851,9
L0850,L0854,6
L0851,L0852,1
L0852,L0853,9
L0853,L0854,8
L0853,L0877,3
L0853,L0914,8
L0853,L0979,10
L0854,L0855,7
L0855,L0856,1
L0855,L0867,8
L0856,L0857,4
L0856,L0878,2
L0857,L0858,9
L0858,L0859,6
L0859,L0860,8
L0860,L0861,8
L0860,L0868,14
L0860,L0882,6
L0861,L0862,1
L0861,L0871,5
L0862,L0863,4
L0863,L0864,5
L0864,L0865,9
L0865,L0866,3
L0865,L0992,8
L0866,L0867,5
L0867,L0868,8
L0868,L0869,8
L0869,L0870,2
L0870,L0871,1
L0870,L0888,3
L0871,L0872,4
L0871,L0891,14
L0871,L0898,1
L0871,L0990,11
L0872,L0873,3
L0873,L0874,5
L0874,L0875,9
L0875,L0876,1
L0876,L0877,9
L0876,L0885,10
L0877,L0878,7
L0877,L0957,6
L0878,L0879,2
L0879,L0880,4
L0880,L0881,2
L0881,L0882,8
L0882,L0883,2
L0883,L0884,3
L0883,L0891,14
L0883,L0931,3
L0884,L0885,8
L0885,L0886,5
L0886,L0887,9
L0887,L0888,5
L0888,L0889,7
L0888,L0990,3
L0889,L0890,8
L0890,L0891,8
L0891,L0892,4
L0892,L0893,8
L0893,L0894,9
L0894,L0895,3
L0895,L0896,7
L0896,L0897,4
L0897,L0898,9
L0897,L0899,1
L0898,L0899,3
L0898,L0909,10
L0898,L0941,14
L0899,L0900,2
L0899,L0913,14
L0899,L0921,2
L0900,L0901,5
L0901,L0902,7
L0902,L0903,6
L0902,L0923,7
L0903,L0904,9
L0903,L0987,13
L0904,L0905,5
L0905,L0906,1
L0906,L0907,5
L0906,L0914,2
L0907,L0908,5
L0908,L0909,8
L0909,L0910,3
L0910,L0911,8
L0911,L0912,9
L0912,L0913,8
L0913,L0914,6
L0913,L0923,12
L0914,L0915,6
L0915,L0916,9
L0916,L0917,9
L0917,L0918,7
L0918,L0919,8
L0919,L0920,6
L0920,L0921,4
L0921,L0922,4
L0921,L0942,9
L0922,L0923,7
L0922,L0931,1
L0923,L0924,4
L0924,L0925,7
L0925,L0926,1
L0925,L0928,5
L0926,L0927,6
L0927,L0928,8
L0928,L0929,7
L0929,L0930,7
L0929,L0940,4
L0929,L0941,1
L0930,L0931,3
L0931,L0932,8
L0931,L0943,8
L0932,L0933,1
L0933,L0934,3
L0933,L0944,4
L0934,L0935,9
L0935,L0936,6
L0936,L0937,2
L0936,L0944,15
L0937,L0938,8
L0938,L0939,2
L0939,L0940,9
L0940,L0941,8
L0940,L0960,11
L0940,L0962,10
L0940,L0983,13
L0941,L0942,1
L0942,L0943,3
L0943,L0944,7
L0943,L0951,11
L0944,L0945,3
L0945,L0946,2
L0945,L0998,8
L0946,L0947,8
L0947,L0948,5
L0948,L0949,6
L0949,L0950,7
L0950,L0951,2
L0951,L0952,6
L0952,L0953,9
L0953,L0954,7
L0954,L0955,6
L0955,L0956,8
L0956,L0957,9
L0957,L0958,1
L0958,L0959,2
L0959,L0960,4
L0960,L0961,5
L0961,L0962,4
L0962,L0963,2
L0963,L0964,7
L0964,L0965,2
L0964,L0971,5
L0965,L0966,2
L0966,L0967,8
L0967,L0968,3
L0968,L0969,5
L0969,L0970,1
L0970,L0971,1
L0971,L0972,6
L0972,L0973,1
L0972,L0993,3
L0973,L0974,5
L0973,L0981,14
L0974,L0975,6
L0974,L0989,7
L0974,L0996,7
L0975,L0976,6
L0976,L0977,7
L0977,L0978,3
L0978,L0979,4
L0979,L0980,9
L0980,L0981,7
L0980,L0982,3
L0981,L0982,3
L0982,L0983,3
L0982,L0999,9
L0983,L0984,3
L0983,L0993,5
L0984,L0985,2
L0985,L0986,7
L0986,L0987,4
L0987,L0988,8
L0987,L0991,5
L0988,L0989,3
L0989,L0990,4
L0990,L0991,8
L0991,L0992,5
L0992,L0993,8
L0993,L0994,5
L0994,L0995,1
L0995,L0996,8
L0996,L0997,5
L0997,L0998,9
L0998,L0999,3
L0999,L1000,2
L1000,L0001,8
